Neighborhood,Zip Code,Rate (ER visits per 10K),Total ER Visits,change_labels,ER visits for fever/flu,ER visits for respiratory symptoms
Central Harlem,10030.0,5.636044160063654,17.0,↑,16.0,1.0
East Harlem,10035.0,4.524119210541198,16.0,↑,15.0,1.0
East Harlem,10035.0,4.524119210541198,16.0,↑,15.0,1.0
Northwest Queens,11101.0,4.15915707749896,12.0, ,11.0,1.0
West Queens,11368.0,3.9250918035360716,45.0, ,45.0,0.0
West Queens,11372.0,3.7326199881800366,24.0, ,23.0,1.0
Inwood and Washington Heights,10032.0,3.6401044551713224,23.0,↑,23.0,0.0
Inwood and Washington Heights,10034.0,3.394740415516227,15.0,↑,13.0,2.0
Southwest Queens,11418.0,3.3106679909338634,13.0, ,11.0,2.0
Port Richmond,10302.0,3.23642051890609,6.0, ,4.0,2.0
West Queens,11369.0,3.215003348961822,12.0, ,11.0,1.0
Stapleton and St. George,10305.0,3.072487060102574,13.0, ,11.0,2.0
West Central Queens,11385.0,3.0019324940430403,32.0, ,32.0,0.0
West Queens,11373.0,2.9059811318796505,28.0, ,28.0,0.0
Inwood and Washington Heights,10040.0,2.8259026585222706,13.0,↑,13.0,0.0
Hunts Point and Mott Haven,10455.0,2.8196813760045116,12.0, ,11.0,1.0
High Bridge and Morrisania,10451.0,2.6948590381426203,13.0, ,13.0,0.0
Hunts Point and Mott Haven,10459.0,2.658758564270375,13.0, ,12.0,1.0
Rockaways,11691.0,2.6011383805618458,17.0, ,17.0,0.0
Southwest Queens,11421.0,2.5248467877062915,11.0, ,11.0,0.0
West Queens,11377.0,2.452947997502453,22.0, ,21.0,1.0
Northwest Brooklyn,11231.0,2.388535031847134,9.0,↑,8.0,1.0
Northwest Brooklyn,11231.0,2.388535031847134,9.0, ,8.0,1.0
Southeast Queens,11426.0,2.3622791269016346,5.0, ,5.0,0.0
Rockaways,11693.0,2.3605319065229367,3.0, ,3.0,0.0
Rockaways,11693.0,2.3605319065229367,3.0,↑,3.0,0.0
Rockaways,11693.0,2.3605319065229367,3.0,↑,3.0,0.0
Rockaways,11693.0,2.3605319065229367,3.0,↑,3.0,0.0
Bronx Park and Fordham,10467.0,2.336494090617029,24.0, ,21.0,3.0
Northeast Bronx,10466.0,2.3107558890293465,17.0, ,17.0,0.0
Sunset Park,11220.0,2.290562880930566,23.0, ,23.0,0.0
Flatbush,11203.0,2.2371659055915987,17.0, ,15.0,2.0
High Bridge and Morrisania,10456.0,2.2183020482322244,21.0, ,18.0,3.0
Southeast Bronx,10464.0,2.2138587558113794,1.0, ,1.0,0.0
Southeast Bronx,10464.0,2.2138587558113794,1.0,↑,1.0,0.0
Southeast Bronx,10464.0,2.2138587558113794,1.0,↑,1.0,0.0
Jamaica,11435.0,2.1954267571858006,13.0, ,13.0,0.0
Southeast Bronx,10472.0,2.1763101387034993,15.0, ,15.0,0.0
Bushwick and Williamsburg,11237.0,2.1024866683231713,11.0, ,10.0,1.0
Bushwick and Williamsburg,11206.0,2.0508847288844327,18.0, ,16.0,2.0
Jamaica,11432.0,1.9969891548127439,13.0, ,13.0,0.0
Northwest Queens,11106.0,1.9944653586298022,8.0, ,8.0,0.0
Central Bronx,10457.0,1.9823439234550935,15.0, ,13.0,2.0
Jamaica,11434.0,1.9482952416635444,13.0, ,12.0,1.0
Jamaica,11433.0,1.9434187512146366,7.0, ,6.0,1.0
Southeast Bronx,10473.0,1.9190481521165503,12.0, ,11.0,1.0
Central Brooklyn,11212.0,1.8109162028709058,15.0, ,13.0,2.0
High Bridge and Morrisania,10452.0,1.7952630701563161,14.0, ,13.0,1.0
South Shore,10309.0,1.7825311942959001,6.0, ,5.0,1.0
West Queens,11370.0,1.7757258279321673,6.0, ,6.0,0.0
West Queens,11370.0,1.7757258279321673,6.0, ,6.0,0.0
Southeast Bronx,10461.0,1.763979537837361,9.0, ,8.0,1.0
Central Brooklyn,11216.0,1.7418568193694477,10.0, ,9.0,1.0
Central Brooklyn,11233.0,1.7337494331973007,13.0, ,8.0,5.0
East Harlem,10029.0,1.7312591200257217,14.0,↑,13.0,1.0
Southwest Queens,11419.0,1.717819514429684,9.0, ,9.0,0.0
Central Bronx,10453.0,1.7025002432143204,14.0, ,11.0,3.0
Canarsie and Flatlands,11236.0,1.6893066886607773,17.0, ,16.0,1.0
Greenpoint,11211.0,1.6738873572272548,17.0, ,16.0,1.0
Inwood and Washington Heights,10033.0,1.64446637066272,10.0,↓,10.0,0.0
Northeast Bronx,10475.0,1.5822427160326393,7.0, ,7.0,0.0
Flatbush,11226.0,1.559682214748745,16.0, ,16.0,0.0
Hunts Point and Mott Haven,10454.0,1.5522326279298393,6.0, ,5.0,1.0
East New York and New Lots,11207.0,1.5122056599697558,14.0, ,14.0,0.0
Northwest Queens,11102.0,1.4824917721706645,5.0, ,5.0,0.0
South Shore,10306.0,1.4809055737583532,8.0, ,6.0,2.0
Bronx Park and Fordham,10468.0,1.4164853136227256,11.0, ,11.0,0.0
Southern Brooklyn,11235.0,1.3711949340579892,11.0, ,11.0,0.0
West Central Queens,11375.0,1.3710462453898569,10.0, ,10.0,0.0
Northeast Bronx,10469.0,1.3697129081744468,10.0, ,9.0,1.0
Gramercy Park and Murray Hill,10016.0,1.3605971077592909,7.0,↓,6.0,1.0
Central Brooklyn,11213.0,1.3533224065079772,9.0, ,6.0,3.0
Lower Manhattan,10038.0,1.3358863606002582,3.0,↓,3.0,0.0
Lower East Side,10009.0,1.3302073460700687,8.0,↓,7.0,1.0
Northwest Brooklyn,11205.0,1.328962523256844,6.0, ,5.0,1.0
Southern Brooklyn,11224.0,1.3261426929537616,6.0, ,6.0,0.0
Bushwick and Williamsburg,11221.0,1.3012207816788115,11.0, ,11.0,0.0
Southern Brooklyn,11229.0,1.2824099981346764,11.0, ,10.0,1.0
Stapleton and St. George,10301.0,1.2673949963245545,5.0, ,4.0,1.0
Central Harlem,10026.0,1.2467273407305821,5.0,↑,5.0,0.0
Kingsbridge and Riverdale,10463.0,1.2351948176715204,9.0, ,9.0,0.0
Kingsbridge and Riverdale,10463.0,1.2351948176715204,9.0, ,9.0,0.0
Central Harlem,10027.0,1.2238965807389275,8.0,↑,8.0,0.0
North Queens,11357.0,1.2079337085980721,5.0, ,3.0,2.0
North Queens,11355.0,1.2064181445288937,10.0, ,10.0,0.0
Flatbush,11225.0,1.1765299090710455,7.0, ,5.0,2.0
Borough Park,11218.0,1.1694386694386696,9.0, ,8.0,1.0
Central Queens,11367.0,1.149530991355527,5.0, ,5.0,0.0
Southern Brooklyn,11223.0,1.113103704161771,9.0, ,9.0,0.0
Central Brooklyn,11238.0,1.083071591032167,6.0, ,6.0,0.0
West Central Queens,11379.0,1.0659844366272253,4.0, ,3.0,1.0
Northwest Queens,11103.0,1.0516352928804291,4.0, ,4.0,0.0
Lower East Side,10002.0,1.0266281681103624,8.0,↑,8.0,0.0
Canarsie and Flatlands,11234.0,1.0231121023930592,10.0, ,9.0,1.0
Northwest Brooklyn,11217.0,1.0078867135333989,4.0, ,4.0,0.0
Mid-Island,10314.0,1.0004446420631392,9.0, ,9.0,0.0
Borough Park,11230.0,0.9971525754235129,9.0, ,7.0,2.0
Central Bronx,10460.0,0.9872967814124926,6.0, ,6.0,0.0
Northwest Brooklyn,11201.0,0.9691957290774872,6.0, ,6.0,0.0
Inwood and Washington Heights,10031.0,0.9618159084351255,6.0,↓,6.0,0.0
Southwest Brooklyn,11214.0,0.9545729346753922,9.0, ,9.0,0.0
Bronx Park and Fordham,10458.0,0.9394412673062696,8.0, ,8.0,0.0
Southeast Queens,11413.0,0.9325096165054202,4.0, ,4.0,0.0
Southwest Queens,11417.0,0.9252120277563609,3.0, ,3.0,0.0
Southeast Bronx,10465.0,0.9035668300616684,4.0, ,4.0,0.0
Southeast Bronx,10462.0,0.8839723190382381,7.0, ,6.0,1.0
Central Queens,11365.0,0.8778667837155711,4.0, ,4.0,0.0
North Queens,11354.0,0.8685682520932495,5.0, ,4.0,1.0
Northwest Brooklyn,11215.0,0.8448919242413575,6.0, ,6.0,0.0
Southeast Queens,11427.0,0.840018480406569,2.0, ,2.0,0.0
West Queens,11378.0,0.8369601606963509,3.0, ,3.0,0.0
South Shore,10312.0,0.8188935110878182,5.0, ,5.0,0.0
East New York and New Lots,11208.0,0.8068989863331484,8.0, ,8.0,0.0
Jamaica,11412.0,0.7725388200757087,3.0, ,2.0,1.0
Southwest Brooklyn,11209.0,0.7358351729212657,5.0, ,5.0,0.0
,11040.0,0.7119126720455624,3.0, ,3.0,0.0
West Central Queens,11374.0,0.6890215893431327,3.0, ,3.0,0.0
Gramercy Park and Murray Hill,10022.0,0.6492031031908333,2.0, ,2.0,0.0
Greenwich Village and Soho,10014.0,0.6290495061961376,2.0,↑,2.0,0.0
Southwest Queens,11420.0,0.6073366264474857,3.0, ,3.0,0.0
Greenpoint,11222.0,0.542814493146967,2.0, ,1.0,1.0
North Queens,11358.0,0.5411401823642414,2.0, ,2.0,0.0
Northwest Queens,11105.0,0.536365586783952,2.0, ,2.0,0.0
Borough Park,11219.0,0.5320337522212408,5.0, ,4.0,1.0
Borough Park,11204.0,0.49965024482861997,4.0, ,4.0,0.0
Stapleton and St. George,10304.0,0.47750931143157294,2.0, ,2.0,0.0
Southwest Brooklyn,11228.0,0.44766765153550003,2.0, ,2.0,0.0
Chelsea and Clinton,10036.0,0.37218996575852314,1.0, ,1.0,0.0
Northeast Queens,11361.0,0.3439735828288387,1.0, ,1.0,0.0
Upper West Side,10024.0,0.3418102269619907,2.0,↓,2.0,0.0
Upper East Side,10065.0,0.3382377811601556,1.0,↑,1.0,0.0
Gramercy Park and Murray Hill,10010.0,0.3019414837404511,1.0,↓,1.0,0.0
Flatbush,11210.0,0.28990549080999595,2.0, ,2.0,0.0
Northeast Queens,11364.0,0.2786679671171799,1.0, ,1.0,0.0
Upper West Side,10025.0,0.21190481235828865,2.0, ,2.0,0.0
Lower East Side,10003.0,0.18170255292086854,1.0, ,0.0,1.0
Upper East Side,10128.0,0.15938032927976029,1.0,↑,1.0,0.0
Upper East Side,10028.0,0.0,0.0,↓,0.0,0.0
Southeast Queens,11422.0,0.0,0.0, ,0.0,0.0
Upper West Side,10023.0,0.0,0.0,↓,0.0,0.0
Upper East Side,10021.0,0.0,0.0,↓,0.0,0.0
Chelsea and Clinton,10019.0,0.0,0.0,↓,0.0,0.0
Greenwich Village and Soho,10013.0,0.0,0.0,↓,0.0,0.0
Chelsea and Clinton,10011.0,0.0,0.0,↓,0.0,0.0
,10271.0,,0.0, ,0.0,0.0
,10278.0,,0.0, ,0.0,0.0
